title,description,category,location,image_url,related_link,st_date,end_date,st_time,end_time
Eid Al-Adha,"An Islamic ""feast of the sacrifice.""",Other/Miscellaneous,"Atlanta, GA",gatech_logo.png,https://www.calendar.gatech.edu/event/615873,"Saturday, August 10, 2019","Sunday, August 11, 2019",00:00,23:59
Phase II Registration - Fall 2019,"Registration ends at 4 p.m. on August 23. Schedule changes and drop courses without a ""W"" grade.",Other/Miscellaneous,"Atlanta, GA",gatech_logo.png,https://www.calendar.gatech.edu/event/622259,"Saturday, August 10, 2019","Friday, August 23, 2019",00:00,23:59
First-Year FASET Orientation,"Georgia Tech's orientation program for new undergraduate students (first-year, exchange, and transfers) as well as their parents, family members, and guests. ",Other/Miscellaneous,Georgia Tech Campus,gatech_logo.png,https://www.calendar.gatech.edu/event/622678,"Sunday, August 11, 2019","Sunday, August 11, 2019",00:00,23:59
CRC Annual Maintenance Week,Check out the annual Campus Recreation Center (CRC) closure dates. ,,Campus Recreation Center,gatech_logo.png,https://www.calendar.gatech.edu/event/623761,"Saturday, August 3, 2019","Saturday, August 3, 2019",00:00,23:59
Phase II Registration - Fall 2019,"Registration ends at 4 p.m. on August 23. Schedule changes and drop courses without a ""W"" grade.",Other/Miscellaneous,"Atlanta, GA",gatech_logo.png,https://www.calendar.gatech.edu/event/622259,"Saturday, August 10, 2019","Friday, August 23, 2019",00:00,23:59
First-Year FASET Orientation,"Georgia Tech's orientation program for new undergraduate students (first-year, exchange, and transfers) as well as their parents, family members, and guests. ",Other/Miscellaneous,Georgia Tech Campus,gatech_logo.png,https://www.calendar.gatech.edu/event/622678,"Sunday, August 11, 2019","Sunday, August 11, 2019",00:00,23:59
First-year Students Move In,First-year students move onto campus for 2019-2020,Other/Miscellaneous,Georgia Tech Department of Housing Assignments Office,gatech_logo.png,https://www.calendar.gatech.edu/event/623004,"Monday, August 12, 2019","Monday, August 12, 2019",00:00,23:59
Stamps Health Services Welcome Week Immunizations Event,"Students, have your immunization requirements fulfilled during Welcome Week at Stamps Health Services! ",,Stamps Health Services,https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/StampsBandaid_FB_1.jpg?itok=0AR04vLr,https://www.calendar.gatech.edu/event/623587,"Monday, August 12, 2019","Monday, August 12, 2019",08:00,15:00
First-year FASET: Georgia Tech-Lorraine information table at the Resource Fair! ,Come learn about studying at Tech's European Campus at the FASET Resource Fair!,Career/Professional development,"Student Center, 3rd Floor",https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/FASET-SU19_Calendar_0.png?itok=AoaxgOza,https://www.calendar.gatech.edu/event/622917,"Monday, August 12, 2019","Monday, August 12, 2019",14:00,16:00
Phase II Registration - Fall 2019,"Registration ends at 4 p.m. on August 23. Schedule changes and drop courses without a ""W"" grade.",Other/Miscellaneous,"Atlanta, GA",gatech_logo.png,https://www.calendar.gatech.edu/event/622259,"Saturday, August 10, 2019","Friday, August 23, 2019",00:00,23:59
First-Year FASET Orientation,"Georgia Tech's orientation program for new undergraduate students (first-year, exchange, and transfers) as well as their parents, family members, and guests. ",Other/Miscellaneous,"Atlanta, GA",gatech_logo.png,https://www.calendar.gatech.edu/event/622679,"Tuesday, August 13, 2019","Tuesday, August 13, 2019",00:00,23:59
First-year Students Move In,First-year students move onto campus for 2019-2020,Other/Miscellaneous,Georgia Tech Department of Housing Assignments Office,gatech_logo.png,https://www.calendar.gatech.edu/event/623004,"Monday, August 12, 2019","Monday, August 12, 2019",00:00,23:59
Stamps Health Services Welcome Week Immunizations Event,"Students, have your immunization requirements fulfilled during Welcome Week at Stamps Health Services! ",,Stamps Health Services,https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/StampsBandaid_FB_1.jpg?itok=0AR04vLr,https://www.calendar.gatech.edu/event/623587,"Monday, August 12, 2019","Monday, August 12, 2019",08:00,15:00
Be Well: Perks & Programs,Come out and be prepared to ring in the new year with a new financial goal to save on purchases! Presented by Georgia Tech Human Resources.,Training/Workshop,"Scheller College of Business, Room 223",https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/be-well-2019_16.png?itok=GOiAnR24,https://www.calendar.gatech.edu/event/622967,"Tuesday, August 13, 2019","Tuesday, August 13, 2019",12:00,13:00
Carbon Reduction Challenge,Enable students participating in an internship or co-op to plan and implement a carbon reduction project with their employers,"Career/Professional development,Conference/Symposium","Scheller College of Business Atrium, 800 W. Peachtree St. NW, Atlanta, GA 30308",https://www.calendar.gatech.edu/sites/default/files/styles/item-image/public/events/related-images/601505_0.jpeg?itok=jCo8x59J,https://www.calendar.gatech.edu/event/622576,"Tuesday, August 13, 2019","Tuesday, August 13, 2019",15:00,16:30
Phase II Registration - Fall 2019,"Registration ends at 4 p.m. on August 23. Schedule changes and drop courses without a ""W"" grade.",Other/Miscellaneous,"Atlanta, GA",gatech_logo.png,https://www.calendar.gatech.edu/event/622259,"Saturday, August 10, 2019","Friday, August 23, 2019",00:00,23:59
First-Year FASET Orientation,"Georgia Tech's orientation program for new undergraduate students (first-year, exchange, and transfers) as well as their parents, family members, and guests. ",Other/Miscellaneous,"Atlanta, GA",gatech_logo.png,https://www.calendar.gatech.edu/event/622679,"Tuesday, August 13, 2019","Tuesday, August 13, 2019",00:00,23:59
First-year Students Move In,First-year students move onto campus for 2019-2020,Other/Miscellaneous,Georgia Tech Department of Housing Assignments Office,gatech_logo.png,https://www.calendar.gatech.edu/event/623004,"Monday, August 12, 2019","Monday, August 12, 2019",00:00,23:59
